U0040E, CYRILLIC CAPITAL LETTER SHORT U        , Ubrcy
U0040F, CYRILLIC CAPITAL LETTER DZHE           , DZcy
U00410, CYRILLIC CAPITAL LETTER A              , Acy
U00411, CYRILLIC CAPITAL LETTER BE             , Bcy
U00412, CYRILLIC CAPITAL LETTER VE             , Vcy
U00413, CYRILLIC CAPITAL LETTER GHE            , Gcy
U00414, CYRILLIC CAPITAL LETTER DE             , Dcy
U00415, CYRILLIC CAPITAL LETTER IE             , IEcy
U00416, CYRILLIC CAPITAL LETTER ZHE            , ZHcy
U00417, CYRILLIC CAPITAL LETTER ZE             , Zcy
U00418, CYRILLIC CAPITAL LETTER I              , Icy
U00419, CYRILLIC CAPITAL LETTER SHORT I        , Jcy
U0041A, CYRILLIC CAPITAL LETTER KA             , Kcy
U0041B, CYRILLIC CAPITAL LETTER EL             , Lcy
U0041C, CYRILLIC CAPITAL LETTER EM             , Mcy
U0041D, CYRILLIC CAPITAL LETTER EN             , Ncy
U0041E, CYRILLIC CAPITAL LETTER O              , Ocy
U0041F, CYRILLIC CAPITAL LETTER PE             , Pcy
U00420, CYRILLIC CAPITAL LETTER ER             , Rcy
U00421, CYRILLIC CAPITAL LETTER ES             , Scy
U00422, CYRILLIC CAPITAL LETTER TE             , Tcy
U00423, CYRILLIC CAPITAL LETTER U              , Ucy
U00424, CYRILLIC CAPITAL LETTER EF             , Fcy
U00425, CYRILLIC CAPITAL LETTER HA             , KHcy
U00426, CYRILLIC CAPITAL LETTER TSE            , TScy
U00427, CYRILLIC CAPITAL LETTER CHE            , CHcy
U00428, CYRILLIC CAPITAL LETTER SHA            , SHcy
U00429, CYRILLIC CAPITAL LETTER SHCHA          , SHCHcy
U0042A, CYRILLIC CAPITAL LETTER HARD SIGN      , HARDcy
U0042B, CYRILLIC CAPITAL LETTER YERU           , Ycy
U0042C, CYRILLIC CAPITAL LETTER SOFT SIGN      , SOFTcy
U0042D, CYRILLIC CAPITAL LETTER E              , Ecy
U0042E, CYRILLIC CAPITAL LETTER YU             , YUcy
U0042F, CYRILLIC CAPITAL LETTER YA             , YAcy
U00430, CYRILLIC SMALL LETTER A                , acy
U00431, CYRILLIC SMALL LETTER BE               , bcy
U00432, CYRILLIC SMALL LETTER VE               , vcy
U00433, CYRILLIC SMALL LETTER GHE              , gcy
U00434, CYRILLIC SMALL LETTER DE               , dcy
U00435, CYRILLIC SMALL LETTER IE               , iecy
U00436, CYRILLIC SMALL LETTER ZHE              , zhcy
U00437, CYRILLIC SMALL LETTER ZE               , zcy
U00438, CYRILLIC SMALL LETTER I                , icy
U00439, CYRILLIC SMALL LETTER SHORT I          , jcy
U0043A, CYRILLIC SMALL LETTER KA               , kcy
U0043B, CYRILLIC SMALL LETTER EL               , lcy
U0043C, CYRILLIC SMALL LETTER EM               , mcy
U0043D, CYRILLIC SMALL LETTER EN               , ncy
U0043E, CYRILLIC SMALL LETTER O                , ocy
U0043F, CYRILLIC SMALL LETTER PE               , pcy
U00440, CYRILLIC SMALL LETTER ER               , rcy
U00441, CYRILLIC SMALL LETTER ES               , scy
U00442, CYRILLIC SMALL LETTER TE               , tcy
U00443, CYRILLIC SMALL LETTER U                , ucy
U00444, CYRILLIC SMALL LETTER EF               , fcy
U00445, CYRILLIC SMALL LETTER HA               , khcy
U00446, CYRILLIC SMALL LETTER TSE              , tscy
U00447, CYRILLIC SMALL LETTER CHE              , chcy
U00448, CYRILLIC SMALL LETTER SHA              , shcy
U00449, CYRILLIC SMALL LETTER SHCHA            , shchcy
U0044A, CYRILLIC SMALL LETTER HARD SIGN        , hardcy
U0044B, CYRILLIC SMALL LETTER YERU             , ycy
U0044C, CYRILLIC SMALL LETTER SOFT SIGN        , softcy
U0044D, CYRILLIC SMALL LETTER E                , ecy
U0044E, CYRILLIC SMALL LETTER YU               , yucy
U0044F, CYRILLIC SMALL LETTER YA               , yacy
U00451, CYRILLIC SMALL LETTER IO               , iocy
U00452, CYRILLIC SMALL LETTER DJE              , djcy
U00453, CYRILLIC SMALL LETTER GJE              , gjcy
U00454, CYRILLIC SMALL LETTER UKRAINIAN IE     , jukcy
U00455, CYRILLIC SMALL LETTER DZE              , dscy
U00456, CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I, iukcy
U00457, CYRILLIC SMALL LETTER YI               , yicy
U00458, CYRILLIC SMALL LETTER JE               , jsercy
U00459, CYRILLIC SMALL LETTER LJE              , ljcy
U0045A, CYRILLIC SMALL LETTER NJE              , njcy
U0045B, CYRILLIC SMALL LETTER TSHE             , tshcy
U0045C, CYRILLIC SMALL LETTER KJE              , kjcy
U0045E, CYRILLIC SMALL LETTER SHORT U          , ubrcy
U0045F, CYRILLIC SMALL LETTER DZHE             , dzcy
U02002, EN SPACE                               , ensp
U02003, EM SPACE                               , emsp
U02004, THREE-PER-EM SPACE                     , emsp13
U02005, FOUR-PER-EM SPACE                      , emsp14
U02007, FIGURE SPACE                           , numsp
U02008, PUNCTUATION SPACE                      , puncsp
U02009, THIN SPACE                             , ThinSpace, thinsp
U02009-0200A-0200A, space of width 5/18 em     , ThickSpace
U0200A, HAIR SPACE                             , hairsp, VeryThinSpace
U0200B, ZERO WIDTH SPACE                       , ZeroWidthSpace, NegativeVeryThinSpace, NegativeThinSpace, NegativeMediumSpace, NegativeThickSpace
U02010, HYPHEN                                 , hyphen, dash
U02013, EN DASH                                , ndash
U02014, EM DASH                                , mdash
U02015, HORIZONTAL BAR                         , horbar
U02016, DOUBLE VERTICAL LINE                   , Verbar, Vert
U02018, LEFT SINGLE QUOTATION MARK             , lsquo, OpenCurlyQuote
U02019, RIGHT SINGLE QUOTATION MARK            , rsquo, rsquor, CloseCurlyQuote
U0201A, SINGLE LOW-9 QUOTATION MARK            , lsquor
U0201C, LEFT DOUBLE QUOTATION MARK             , ldquo, OpenCurlyDoubleQuote
U0201D, RIGHT DOUBLE QUOTATION MARK            , rdquo, rdquor, CloseCurlyDoubleQuote
U0201E, DOUBLE LOW-9 QUOTATION MARK            , ldquor
U02020, DAGGER                                 , dagger, dagger
U02021, DOUBLE DAGGER                          , Dagger, Dagger, ddagger
U02022, BULLET                                 , bull, bullet
U02025, TWO DOT LEADER                         , nldr
U02026, HORIZONTAL ELLIPSIS                    , hellip, mldr
U02030, PER MILLE SIGN                         , permil
U02031, PER TEN THOUSAND SIGN                  , pertenk
U02032, PRIME                                  , prime
U02033, DOUBLE PRIME                           , Prime
U02034, TRIPLE PRIME                           , tprime
U02035, REVERSED PRIME                         , bprime, backprime
U02041, CARET INSERTION POINT                  , caret
U02043, HYPHEN BULLET                          , hybull
U0204F, REVERSED SEMICOLON                     , bsemi
U02057, QUADRUPLE PRIME                        , qprime
U0205F, MEDIUM MATHEMATICAL SPACE              , MediumSpace
U02060, WORD JOINER                            , NoBreak
U02061, FUNCTION APPLICATION                   , ApplyFunction, af
U02062, INVISIBLE TIMES                        , InvisibleTimes, it
U02063, INVISIBLE SEPARATOR                    , InvisibleComma, ic
U020DB, COMBINING THREE DOTS ABOVE             , tdot, TripleDot
U020DC, COMBINING FOUR DOTS ABOVE              , DotDot
U02102, DOUBLE-STRUCK CAPITAL C                , Copf, complexes
U02105, CARE OF                                , incare
U0210A, SCRIPT SMALL G                         , gscr
U0210B, SCRIPT CAPITAL H                       , hamilt, HilbertSpace, Hscr
U0210C, BLACK-LETTER CAPITAL H                 , Hfr, Poincareplane
U0210D, DOUBLE-STRUCK CAPITAL H                , quaternions, Hopf
U0210E, PLANCK CONSTANT                        , planckh
U0210F, PLANCK CONSTANT OVER TWO PI            , planck, hbar, plankv, hslash
U02110, SCRIPT CAPITAL I                       , Iscr, imagline
U02111, BLACK-LETTER CAPITAL I                 , image, Im, imagpart, Ifr
U02112, SCRIPT CAPITAL L                       , Lscr, lagran, Laplacetrf
U02113, SCRIPT SMALL L                         , ell
U02115, DOUBLE-STRUCK CAPITAL N                , Nopf, naturals
U02116, NUMERO SIGN                            , numero
U02117, SOUND RECORDING COPYRIGHT              , copysr
